estimator,experiment,scenario,vehicle,sigma_a,tdma_interval,init_range_scale,packet_loss_prob,run_idx,rmse,ate,final_error,mean_nees,converged
ESKF,exp3,scenario1,ROV,0.02,5.0,1.0,,0,6.956316168719903,6.956316168719903,1.6143105012684074,11.873516761717253,True
ESKF,exp3,scenario1,ASV,0.02,5.0,1.0,,0,1.7405675500488194,1.7405675500488194,1.0067916019250012,4.674398477838349,True
ESKF,exp3,scenario2,ROV,0.02,5.0,1.0,,0,1.6327620172310326,1.6327620172310326,1.2457240829357128,4.31773884866077,True
ESKF,exp3,scenario2,ASV,0.02,5.0,1.0,,0,1.5835670311207808,1.5835670311207808,0.7770410397982845,4.386636310752138,True
ESKF,exp3,scenario3,ROV,0.02,5.0,1.0,,0,1.519803732282129,1.519803732282129,1.333334052320439,4.199533433642186,True
ESKF,exp3,scenario3,ASV,0.02,5.0,1.0,,0,1.5656258865991688,1.5656258865991688,0.8415449533463223,4.4687578103589685,True
ESKF,exp3,scenario1,ROV,0.02,10.0,1.0,,0,4.528901215213702,4.528901215213702,5.603518449206289,4.158885569365465,True
ESKF,exp3,scenario1,ASV,0.02,10.0,1.0,,0,1.5745496676210007,1.5745496676210007,1.105978303970808,3.696954285328185,True
ESKF,exp3,scenario2,ROV,0.02,10.0,1.0,,0,1.9443004404523971,1.9443004404523971,2.1062236787251662,4.186708419729756,True
ESKF,exp3,scenario2,ASV,0.02,10.0,1.0,,0,1.6521634600373731,1.6521634600373731,1.110128628997229,4.21451618744963,True
ESKF,exp3,scenario3,ROV,0.02,10.0,1.0,,0,1.9296176265434264,1.9296176265434264,2.16156381013216,4.337492701794092,True
ESKF,exp3,scenario3,ASV,0.02,10.0,1.0,,0,1.6656575404011118,1.6656575404011118,1.1156414666616603,4.4299521117466645,True
ESKF,exp3,scenario1,ROV,0.02,20.0,1.0,,0,6.029818153114706,6.029818153114706,17.07062649017038,6.861282992404374,False
ESKF,exp3,scenario1,ASV,0.02,20.0,1.0,,0,1.5941021826462651,1.5941021826462651,1.10500342963515,3.6257382525534054,True
ESKF,exp3,scenario2,ROV,0.02,20.0,1.0,,0,2.2009947124985527,2.2009947124985527,1.3775371100329894,2.8294219816243973,True
ESKF,exp3,scenario2,ASV,0.02,20.0,1.0,,0,1.5918557523252617,1.5918557523252617,1.0966831306146623,3.636065898750679,True
ESKF,exp3,scenario3,ROV,0.02,20.0,1.0,,0,2.1276814880948742,2.1276814880948742,1.0646039514652383,2.7144756635289964,True
ESKF,exp3,scenario3,ASV,0.02,20.0,1.0,,0,1.5722637297431257,1.5722637297431257,1.1059844616627688,3.5756191381496896,True
ESKF,exp3,scenario1,ROV,0.02,30.0,1.0,,0,14.326088622710074,14.326088622710074,37.5710660803588,24.922871301976297,False
ESKF,exp3,scenario1,ASV,0.02,30.0,1.0,,0,1.6293079478506154,1.6293079478506154,1.0061090256688014,3.758868296133131,True
ESKF,exp3,scenario2,ROV,0.02,30.0,1.0,,0,2.459220736558618,2.459220736558618,2.5601937383923743,1.98579335428253,True
ESKF,exp3,scenario2,ASV,0.02,30.0,1.0,,0,1.6011979632829878,1.6011979632829878,1.1144245697465456,3.614394192410628,True
ESKF,exp3,scenario3,ROV,0.02,30.0,1.0,,0,2.5267251263180786,2.5267251263180786,3.499028184533351,2.254920464386083,True
ESKF,exp3,scenario3,ASV,0.02,30.0,1.0,,0,1.598109902306981,1.598109902306981,1.1118810102283154,3.618184303146741,True
ESKF,exp3,scenario1,ROV,0.02,60.0,1.0,,0,16.78811522093313,16.78811522093313,37.62831197635309,3.0963521966032794,False
ESKF,exp3,scenario1,ASV,0.02,60.0,1.0,,0,1.6021535910126476,1.6021535910126476,1.0905582310206623,3.6229179469445643,True
ESKF,exp3,scenario2,ROV,0.02,60.0,1.0,,0,6.627611963293504,6.627611963293504,11.379262716382838,3.13498931712105,False
ESKF,exp3,scenario2,ASV,0.02,60.0,1.0,,0,1.6052695455942645,1.6052695455942645,1.0904606577825207,3.6122624896093765,True
ESKF,exp3,scenario3,ROV,0.02,60.0,1.0,,0,6.197534047720446,6.197534047720446,9.827432181262038,2.681143285073392,True
ESKF,exp3,scenario3,ASV,0.02,60.0,1.0,,0,1.5946435215261945,1.5946435215261945,1.0932302145801658,3.5578926629570904,True
ESKF,exp3,scenario1,ROV,0.02,120.0,1.0,,0,27.476177443989062,27.476177443989062,61.723860067499224,4.695515146646203,False
ESKF,exp3,scenario1,ASV,0.02,120.0,1.0,,0,1.6051282042921808,1.6051282042921808,1.0903429641650135,3.6350211354096613,True
ESKF,exp3,scenario2,ROV,0.02,120.0,1.0,,0,17.521461006425163,17.521461006425163,24.94640161561468,5.54856924101044,False
ESKF,exp3,scenario2,ASV,0.02,120.0,1.0,,0,1.609075474446377,1.609075474446377,1.0905742779391105,3.627947673454915,True
ESKF,exp3,scenario3,ROV,0.02,120.0,1.0,,0,19.356488085519626,19.356488085519626,35.14060463970058,17.74451595978637,False
ESKF,exp3,scenario3,ASV,0.02,120.0,1.0,,0,1.6789070780827038,1.6789070780827038,1.0832373423351176,4.142783902171591,True
