estimator,experiment,scenario,vehicle,sigma_a,tdma_interval,init_range_scale,packet_loss_prob,run_idx,rmse,ate,final_error,mean_nees,converged
ESKF,exp4_packet_loss,scenario1,ROV,0.02,0.2,1.0,0.0,0,4.469258268647386,4.469258268647386,2.7195221439817954,5.810787776715161,True
ESKF,exp4_packet_loss,scenario1,ASV,0.02,0.2,1.0,0.0,0,1.53961461279601,1.53961461279601,0.8279224276232627,3.981262013539334,True
ESKF,exp4_packet_loss,scenario2,ROV,0.02,0.2,1.0,0.0,0,1.5929049145676797,1.5929049145676797,0.6019632784080222,5.957128240616962,True
ESKF,exp4_packet_loss,scenario2,ASV,0.02,0.2,1.0,0.0,0,1.6353085071182012,1.6353085071182012,0.6954778343618611,6.158436358714454,True
ESKF,exp4_packet_loss,scenario3,ROV,0.02,0.2,1.0,0.0,0,1.4497766684169269,1.4497766684169269,0.31243857583387646,5.704829216079992,True
ESKF,exp4_packet_loss,scenario3,ASV,0.02,0.2,1.0,0.0,0,1.4960773607047433,1.4960773607047433,0.32517375885127786,5.8040406680165155,True
ESKF,exp4_packet_loss,scenario1,ROV,0.02,0.2,1.0,0.1,0,4.221557905683483,4.221557905683483,4.055371573963803,5.574121913111889,True
ESKF,exp4_packet_loss,scenario1,ASV,0.02,0.2,1.0,0.1,0,1.5337908514318646,1.5337908514318646,0.6994212775558902,3.992499357665621,True
ESKF,exp4_packet_loss,scenario2,ROV,0.02,0.2,1.0,0.1,0,1.623739856347446,1.623739856347446,0.7822565511545773,6.162999107488878,True
ESKF,exp4_packet_loss,scenario2,ASV,0.02,0.2,1.0,0.1,0,1.6708153592690071,1.6708153592690071,0.666145057876533,6.39389448472691,True
ESKF,exp4_packet_loss,scenario3,ROV,0.02,0.2,1.0,0.1,0,1.4714064199549772,1.4714064199549772,0.22112505513222872,5.636872412761088,True
ESKF,exp4_packet_loss,scenario3,ASV,0.02,0.2,1.0,0.1,0,1.5301814633046533,1.5301814633046533,0.25840330964566416,6.061338992983707,True
ESKF,exp4_packet_loss,scenario1,ROV,0.02,0.2,1.0,0.3,0,3.807249198942201,3.807249198942201,3.298189584685533,5.007702190578423,True
ESKF,exp4_packet_loss,scenario1,ASV,0.02,0.2,1.0,0.3,0,1.4853698778054238,1.4853698778054238,1.2436104084342727,3.7480414987016326,True
ESKF,exp4_packet_loss,scenario2,ROV,0.02,0.2,1.0,0.3,0,1.5857146918102463,1.5857146918102463,0.5755287678545882,5.78559286091407,True
ESKF,exp4_packet_loss,scenario2,ASV,0.02,0.2,1.0,0.3,0,1.6034691154653786,1.6034691154653786,0.8227311889167022,5.790273752108902,True
ESKF,exp4_packet_loss,scenario3,ROV,0.02,0.2,1.0,0.3,0,1.4331440634322274,1.4331440634322274,0.14737410299065778,5.359071609005154,True
ESKF,exp4_packet_loss,scenario3,ASV,0.02,0.2,1.0,0.3,0,1.4619706921437021,1.4619706921437021,0.4271628896555428,5.280457612415968,True
ESKF,exp4_packet_loss,scenario1,ROV,0.02,0.2,1.0,0.5,0,4.574106420600024,4.574106420600024,3.42984047244208,6.787901198432679,True
ESKF,exp4_packet_loss,scenario1,ASV,0.02,0.2,1.0,0.5,0,1.6040951973428135,1.6040951973428135,1.0095101304429592,4.265646150615929,True
ESKF,exp4_packet_loss,scenario2,ROV,0.02,0.2,1.0,0.5,0,1.65448961326084,1.65448961326084,0.42975774662972344,6.2871360979605475,True
ESKF,exp4_packet_loss,scenario2,ASV,0.02,0.2,1.0,0.5,0,1.6953942091186693,1.6953942091186693,0.7741083895953972,6.419670597937647,True
ESKF,exp4_packet_loss,scenario3,ROV,0.02,0.2,1.0,0.5,0,1.5202627063056773,1.5202627063056773,0.3600936658662582,6.056084301002278,True
ESKF,exp4_packet_loss,scenario3,ASV,0.02,0.2,1.0,0.5,0,1.5693547224882862,1.5693547224882862,0.16388509603395424,6.217891662982916,True
ESKF,exp4_packet_loss,scenario1,ROV,0.02,0.2,1.0,0.7,0,6.959026070968304,6.959026070968304,3.166836014759185,15.103971823405995,True
ESKF,exp4_packet_loss,scenario1,ASV,0.02,0.2,1.0,0.7,0,1.7383697606918316,1.7383697606918316,0.8318478244754246,4.841299517282437,True
ESKF,exp4_packet_loss,scenario2,ROV,0.02,0.2,1.0,0.7,0,1.3426752904421309,1.3426752904421309,0.5767761078510704,4.078231051437151,True
ESKF,exp4_packet_loss,scenario2,ASV,0.02,0.2,1.0,0.7,0,1.3999095840713878,1.3999095840713878,0.7475267881722534,4.225540398612071,True
ESKF,exp4_packet_loss,scenario3,ROV,0.02,0.2,1.0,0.7,0,1.2231461415749905,1.2231461415749905,0.2214702710015163,4.0083075017854455,True
ESKF,exp4_packet_loss,scenario3,ASV,0.02,0.2,1.0,0.7,0,1.3036915208156004,1.3036915208156004,0.2210778718692428,4.309397209418613,True
ESKF,exp4_packet_loss,scenario1,ROV,0.02,0.2,1.0,0.9,0,5.927950282650659,5.927950282650659,4.405483410992795,8.987077530472684,True
ESKF,exp4_packet_loss,scenario1,ASV,0.02,0.2,1.0,0.9,0,1.5980679947087078,1.5980679947087078,1.0417124088897298,4.033123142613071,True
ESKF,exp4_packet_loss,scenario2,ROV,0.02,0.2,1.0,0.9,0,1.6293022806815618,1.6293022806815618,0.7740671438061344,4.277434343175105,True
ESKF,exp4_packet_loss,scenario2,ASV,0.02,0.2,1.0,0.9,0,1.4640066391325623,1.4640066391325623,0.8626724834743806,4.145688321826693,True
ESKF,exp4_packet_loss,scenario3,ROV,0.02,0.2,1.0,0.9,0,1.3103461391152047,1.3103461391152047,0.6483686344553343,3.488501786947625,True
ESKF,exp4_packet_loss,scenario3,ASV,0.02,0.2,1.0,0.9,0,1.3217068791975326,1.3217068791975326,0.6906250078201572,3.580319966179497,True
