estimator,experiment,scenario,vehicle,sigma_a,tdma_interval,init_range_scale,packet_loss_prob,run_idx,rmse,ate,final_error,mean_nees,converged
ESKF,exp4_packet_loss,scenario1,ROV,0.02,0.2,1.0,0.7,0,24.84366694629725,24.84366694629725,1.234637623098046,212.06711373407353,True
ESKF,exp4_packet_loss,scenario1,ASV,0.02,0.2,1.0,0.7,0,4.951579291327524,4.951579291327524,0.6131521110049137,35.41080586911551,True
ESKF,exp4_packet_loss,scenario2,ROV,0.02,0.2,1.0,0.7,0,2.110560376728435,2.110560376728435,0.11048480336070123,9.327272130322852,True
ESKF,exp4_packet_loss,scenario2,ASV,0.02,0.2,1.0,0.7,0,2.239626042225316,2.239626042225316,0.3597523300579465,9.639413625084304,True
ESKF,exp4_packet_loss,scenario3,ROV,0.02,0.2,1.0,0.7,0,2.2665251479683177,2.2665251479683177,0.21488862355120483,11.517282395612899,True
ESKF,exp4_packet_loss,scenario3,ASV,0.02,0.2,1.0,0.7,0,2.3572653308090357,2.3572653308090357,0.3475826488190069,11.470990655872837,True
ESKF,exp4_packet_loss,scenario1,ROV,0.02,0.2,1.0,0.9,0,48.35243639073651,48.35243639073651,3.3322296847871202,509.71164306845,True
ESKF,exp4_packet_loss,scenario1,ASV,0.02,0.2,1.0,0.9,0,8.919883411398123,8.919883411398123,1.2712811353508877,112.91028009805464,True
ESKF,exp4_packet_loss,scenario2,ROV,0.02,0.2,1.0,0.9,0,3.5109024374875215,3.5109024374875215,1.19465160814154,22.390638953881194,True
ESKF,exp4_packet_loss,scenario2,ASV,0.02,0.2,1.0,0.9,0,4.946291380315887,4.946291380315887,0.843356777096911,40.227426550935064,True
ESKF,exp4_packet_loss,scenario3,ROV,0.02,0.2,1.0,0.9,0,2.815808920038762,2.815808920038762,0.6123680787853215,14.988505214345375,True
ESKF,exp4_packet_loss,scenario3,ASV,0.02,0.2,1.0,0.9,0,2.7605164148173222,2.7605164148173222,0.35010099656290145,13.897249385802162,True
