estimator,experiment,scenario,vehicle,sigma_a,tdma_interval,init_range_scale,packet_loss_prob,run_idx,rmse,ate,final_error,mean_nees,converged
ESKF,exp3,scenario1,ROV,0.02,5.0,1.0,,0,16.172272025693946,16.172272025693946,12.635658806211817,3.08582080434726,False
ESKF,exp3,scenario1,ASV,0.02,5.0,1.0,,0,1.35221331487032,1.35221331487032,1.5147185680608166,2.4563184971812837,True
ESKF,exp3,scenario2,ROV,0.02,5.0,1.0,,0,2.612690776381963,2.612690776381963,1.7535352272791853,3.1047727179220725,True
ESKF,exp3,scenario2,ASV,0.02,5.0,1.0,,0,1.294337837379559,1.294337837379559,1.4799682946554942,2.515845628107432,True
ESKF,exp3,scenario3,ROV,0.02,5.0,1.0,,0,2.2900927288046993,2.2900927288046993,1.547801191811592,2.8845302037847684,True
ESKF,exp3,scenario3,ASV,0.02,5.0,1.0,,0,1.286136523731033,1.286136523731033,1.4818209043419672,2.503411261841935,True
ESKF,exp3,scenario1,ROV,0.02,10.0,1.0,,0,19.753308016832474,19.753308016832474,7.41896976275806,4.087372911083323,True
ESKF,exp3,scenario1,ASV,0.02,10.0,1.0,,0,1.3659470312282054,1.3659470312282054,1.5110635511158057,2.492021891813291,True
ESKF,exp3,scenario2,ROV,0.02,10.0,1.0,,0,3.3380899898853964,3.3380899898853964,4.931308007060394,2.998867574210927,True
ESKF,exp3,scenario2,ASV,0.02,10.0,1.0,,0,1.4016742650749279,1.4016742650749279,1.549653652468389,2.742183359265344,True
ESKF,exp3,scenario3,ROV,0.02,10.0,1.0,,0,2.8437191860257363,2.8437191860257363,4.765941090554096,2.8023317258198257,True
ESKF,exp3,scenario3,ASV,0.02,10.0,1.0,,0,1.3944713044189123,1.3944713044189123,1.5502998364928908,2.726721039562043,True
ESKF,exp3,scenario1,ROV,0.02,20.0,1.0,,0,15.539549055399656,15.539549055399656,22.276280311344397,3.3854942785004924,False
ESKF,exp3,scenario1,ASV,0.02,20.0,1.0,,0,1.355669795045615,1.355669795045615,1.4786131278549428,2.453064769962737,True
ESKF,exp3,scenario2,ROV,0.02,20.0,1.0,,0,4.694736630914474,4.694736630914474,9.75485549242703,3.2053491284665143,True
ESKF,exp3,scenario2,ASV,0.02,20.0,1.0,,0,1.3629447643491297,1.3629447643491297,1.4863331807636204,2.4681719921716896,True
ESKF,exp3,scenario3,ROV,0.02,20.0,1.0,,0,3.932455842319245,3.932455842319245,9.284129917246332,2.854990932436848,True
ESKF,exp3,scenario3,ASV,0.02,20.0,1.0,,0,1.3613593141914253,1.3613593141914253,1.4833735606140708,2.4706283380365006,True
ESKF,exp3,scenario1,ROV,0.02,30.0,1.0,,0,25.918485175954505,25.918485175954505,25.40966619018933,8.815103745836288,False
ESKF,exp3,scenario1,ASV,0.02,30.0,1.0,,0,1.3640968463101226,1.3640968463101226,1.4787136616192864,2.4896722676728196,True
ESKF,exp3,scenario2,ROV,0.02,30.0,1.0,,0,5.876167268212874,5.876167268212874,6.105115750569585,3.781216540725072,True
ESKF,exp3,scenario2,ASV,0.02,30.0,1.0,,0,1.3671332010403512,1.3671332010403512,1.4779691237267212,2.480456667706903,True
ESKF,exp3,scenario3,ROV,0.02,30.0,1.0,,0,5.44176228505712,5.44176228505712,4.36519549594931,3.487393492754541,True
ESKF,exp3,scenario3,ASV,0.02,30.0,1.0,,0,1.3590126333144905,1.3590126333144905,1.4754347266989583,2.439033817906492,True
ESKF,exp3,scenario1,ROV,0.02,60.0,1.0,,0,25.01217747518196,25.01217747518196,27.097698039671055,5.188938993074334,False
ESKF,exp3,scenario1,ASV,0.02,60.0,1.0,,0,1.353955601963468,1.353955601963468,1.4747915988810392,2.4467298701121325,True
ESKF,exp3,scenario2,ROV,0.02,60.0,1.0,,0,10.008012810274211,10.008012810274211,3.931185645897941,3.2650190679213122,True
ESKF,exp3,scenario2,ASV,0.02,60.0,1.0,,0,1.3629075331201643,1.3629075331201643,1.475673093036418,2.459095128195322,True
ESKF,exp3,scenario3,ROV,0.02,60.0,1.0,,0,9.3845538023342,9.3845538023342,2.7132323991524787,2.731905102536629,True
ESKF,exp3,scenario3,ASV,0.02,60.0,1.0,,0,1.361892355412898,1.361892355412898,1.4772988905127704,2.4612669561092044,True
ESKF,exp3,scenario1,ROV,0.02,120.0,1.0,,0,71.86158635220885,71.86158635220885,100.45385815335935,39.155622662253364,False
ESKF,exp3,scenario1,ASV,0.02,120.0,1.0,,0,1.3577367249724646,1.3577367249724646,1.4758323992503544,2.460072186931705,True
ESKF,exp3,scenario2,ROV,0.02,120.0,1.0,,0,51.72301458070271,51.72301458070271,38.63618698500948,47.634298281838944,False
ESKF,exp3,scenario2,ASV,0.02,120.0,1.0,,0,1.3663840942196073,1.3663840942196073,1.4766273494530398,2.4696410730254175,True
ESKF,exp3,scenario3,ROV,0.02,120.0,1.0,,0,87.94423275880347,87.94423275880347,58.050459882869944,72.2741045962402,False
ESKF,exp3,scenario3,ASV,0.02,120.0,1.0,,0,1.3732108841692834,1.3732108841692834,1.4764461922481387,2.515222826095832,True
