estimator,experiment,scenario,vehicle,sigma_a,tdma_interval,init_range_scale,run_idx,rmse,ate,final_error,mean_nees,converged
ESKF,exp1,bearing-only,ROV,0.005,,,0,4.108090071555802,4.108090071555802,3.141608595557201,14.240611086709698,True
ESKF,exp1,bearing-only,ASV,0.005,,,0,1.479639433518815,1.479639433518815,1.2585531873364377,3.9350673963535057,True
ESKF,exp1,bearing-only,ROV,0.01,,,0,2.639284718218277,2.639284718218277,2.6407154020197683,4.26418376595139,True
ESKF,exp1,bearing-only,ASV,0.01,,,0,1.1923260882445827,1.1923260882445827,1.510040513020021,2.4216402914050716,True
ESKF,exp1,bearing-only,ROV,0.02,,,0,2.5474647203866305,2.5474647203866305,1.8460604207830082,2.745736094424955,True
ESKF,exp1,bearing-only,ASV,0.02,,,0,1.4203950680294228,1.4203950680294228,1.0680482632977084,3.4140304104183037,True
ESKF,exp1,bearing-only,ROV,0.05,,,0,5.675567160498391,5.675567160498391,6.9782581083451145,2.6351698197017326,True
ESKF,exp1,bearing-only,ASV,0.05,,,0,1.2436129015348765,1.2436129015348765,1.0822002750725754,2.272128537715435,True
ESKF,exp1,bearing-only,ROV,0.1,,,0,16.386262311327467,16.386262311327467,22.02860260863204,10.420443898311984,False
ESKF,exp1,bearing-only,ASV,0.1,,,0,1.154504882724549,1.154504882724549,0.84793295769563,1.8749918022391998,True
ESKF,exp1,bearing-only,ROV,0.5,,,0,621.1800234378202,621.1800234378202,1305.0927421843762,374.4104293809302,False
ESKF,exp1,bearing-only,ASV,0.5,,,0,1.318203157273905,1.318203157273905,0.46727963575783527,2.449813057636473,True
ESKF,exp1,bearing-only,ROV,1.0,,,0,411.5578521760685,411.5578521760685,741.3015845076578,99.04007973488008,False
ESKF,exp1,bearing-only,ASV,1.0,,,0,1.268556224719796,1.268556224719796,1.165658121446783,2.328837980924512,True
