estimator,experiment,scenario,vehicle,sigma_a,tdma_interval,init_range_scale,run_idx,rmse,ate,final_error,mean_nees,converged
ESKF,exp3,scenario1,ROV,0.02,5.0,1.0,0,6.289407015003677,6.289407015003677,1.0015270627846844,9.23220609406022,True
ESKF,exp3,scenario1,ASV,0.02,5.0,1.0,0,1.5581408489307398,1.5581408489307398,1.8019599351985296,3.706216785823892,True
ESKF,exp3,scenario2,ROV,0.02,5.0,1.0,0,1.5231171886859212,1.5231171886859212,0.5226942593644692,3.885583485813994,True
ESKF,exp3,scenario2,ASV,0.02,5.0,1.0,0,1.5571674193548934,1.5571674193548934,1.2134391134825961,4.148101129817294,True
ESKF,exp3,scenario3,ROV,0.02,5.0,1.0,0,1.4521395620963586,1.4521395620963586,0.8319306519921407,3.705172117459357,True
ESKF,exp3,scenario3,ASV,0.02,5.0,1.0,0,1.5127449642999755,1.5127449642999755,1.2880383067768497,3.9735784707946196,True
ESKF,exp3,scenario1,ROV,0.02,10.0,1.0,0,4.891529161548781,4.891529161548781,4.897746306945873,4.567461588315841,True
ESKF,exp3,scenario1,ASV,0.02,10.0,1.0,0,1.5000198714303212,1.5000198714303212,1.7320084762809975,3.2072367438011304,True
ESKF,exp3,scenario2,ROV,0.02,10.0,1.0,0,1.8013375896355148,1.8013375896355148,1.0330132392411255,3.3936915456689953,True
ESKF,exp3,scenario2,ASV,0.02,10.0,1.0,0,1.5618296540910106,1.5618296540910106,1.6308838484629204,3.636054163933656,True
ESKF,exp3,scenario3,ROV,0.02,10.0,1.0,0,1.7673487731905202,1.7673487731905202,0.9053955211844857,3.486666797175459,True
ESKF,exp3,scenario3,ASV,0.02,10.0,1.0,0,1.5529716030930192,1.5529716030930192,1.6327663560453005,3.648636883565712,True
ESKF,exp3,scenario1,ROV,0.02,20.0,1.0,0,4.267612307967239,4.267612307967239,5.049599253436974,3.5532795439521014,True
ESKF,exp3,scenario1,ASV,0.02,20.0,1.0,0,1.5413453018996988,1.5413453018996988,1.765639146098466,3.2667701464233745,True
ESKF,exp3,scenario2,ROV,0.02,20.0,1.0,0,2.0068614774411753,2.0068614774411753,3.2700697447721403,2.2593384238627263,True
ESKF,exp3,scenario2,ASV,0.02,20.0,1.0,0,1.5421820277876614,1.5421820277876614,1.8003401536613903,3.2722759243327895,True
ESKF,exp3,scenario3,ROV,0.02,20.0,1.0,0,1.9897540573507664,1.9897540573507664,3.4234475891523033,2.3557975455883486,True
ESKF,exp3,scenario3,ASV,0.02,20.0,1.0,0,1.5305933017161106,1.5305933017161106,1.8007756960938737,3.2350423504892807,True
ESKF,exp3,scenario1,ROV,0.02,30.0,1.0,0,6.346072225227417,6.346072225227417,2.3174236389920284,4.265351517291776,True
ESKF,exp3,scenario1,ASV,0.02,30.0,1.0,0,1.564968181379117,1.564968181379117,1.800038495510343,3.373382494012897,True
ESKF,exp3,scenario2,ROV,0.02,30.0,1.0,0,2.6166662324481065,2.6166662324481065,2.2778343360809825,2.015723728763492,True
ESKF,exp3,scenario2,ASV,0.02,30.0,1.0,0,1.5622655457866748,1.5622655457866748,1.7624237012339792,3.3393678551046464,True
ESKF,exp3,scenario3,ROV,0.02,30.0,1.0,0,2.614882569344693,2.614882569344693,2.318305850497761,2.0991365815645056,True
ESKF,exp3,scenario3,ASV,0.02,30.0,1.0,0,1.562583209858052,1.562583209858052,1.7661415074184332,3.3833252545725556,True
ESKF,exp3,scenario1,ROV,0.02,60.0,1.0,0,12.52089989176147,12.52089989176147,28.793506534411808,2.5828472941847007,False
ESKF,exp3,scenario1,ASV,0.02,60.0,1.0,0,1.5483049640693232,1.5483049640693232,1.7656381103779457,3.275972742671321,True
ESKF,exp3,scenario2,ROV,0.02,60.0,1.0,0,6.222100717872697,6.222100717872697,6.713481346817509,2.71408365699752,True
ESKF,exp3,scenario2,ASV,0.02,60.0,1.0,0,1.5600238547889242,1.5600238547889242,1.7647457218919576,3.3052685307832106,True
ESKF,exp3,scenario3,ROV,0.02,60.0,1.0,0,6.10537790202347,6.10537790202347,6.270088729788133,2.543620634832379,True
ESKF,exp3,scenario3,ASV,0.02,60.0,1.0,0,1.5526608694435964,1.5526608694435964,1.7664509530671002,3.2790161683220336,True
ESKF,exp3,scenario1,ROV,0.02,120.0,1.0,0,26.907092368690876,26.907092368690876,60.3577461543281,6.19743314880573,False
ESKF,exp3,scenario1,ASV,0.02,120.0,1.0,0,1.5508441919023745,1.5508441919023745,1.7660353872140564,3.2856934401649167,True
ESKF,exp3,scenario2,ROV,0.02,120.0,1.0,0,18.769194163294795,18.769194163294795,28.89410570172401,7.897257494831194,False
ESKF,exp3,scenario2,ASV,0.02,120.0,1.0,0,1.5613846107731826,1.5613846107731826,1.7661449336319344,3.309537568380306,True
ESKF,exp3,scenario3,ROV,0.02,120.0,1.0,0,40.9598130971695,40.9598130971695,106.69855832595258,40.33016057320837,False
ESKF,exp3,scenario3,ASV,0.02,120.0,1.0,0,1.550050817880135,1.550050817880135,1.7649864635859855,3.2473907144169774,True
